"seller_sk","seller_key","seller_name","seller_link","seller_website","destination","seller_rating","seller_rating_count","description","phone_new","phone_used","phone_service","hours","highlights","inventory_count","avg_listing_price"
"95ba4f4dd5d796726954343d7f4cdaf9","acura-of-wappingers-falls","Acura of Wappingers Falls","https://www.cars.com/dealers/5243031/acura-of-wappingers-falls/#Reviews","http://WWW.ACURAOFWAPPINGERSFALLS.COM?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","1271 Route 9, Wappingers Falls, NY 12590","4.9",1596,NULL,"(845) 233-6414","(845) 233-6428","(877) 217-0061","{""Sales hours"": ""9:00am to 6:00pm"", ""Service hours"": ""8:00am to 5:00pm""}",NULL,"1","36173"
"01a1e4197ee21a3e320ccf1216de443a","advantage-chevrolet","Advantage Chevrolet","https://www.cars.com/dealers/121/advantage-chevrolet/#Reviews","http://www.hodgkinschevrolet.com?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","9510 Joliet Rd, Hodgkins, IL 60525","4.7",5940,"If you're shopping for a Chevrolet in the Chicagoland area, Advantage Chevrolet of Hodgkins is worth a visit—this family-owned shop has been serving the region for two decades and sits conveniently near I-55, making it easy to reach from the airports or downtown. With nearly 6,000 five-star reviews backing them up, customers consistently praise the sales team for taking time to explain options and making the whole process smooth and transparent. Their factory-certified service department is a real standout, staffed with experienced technicians who can handle your maintenance needs long after you drive off the lot.","(877) 226-1119","(888) 556-0334","(888) 410-4220","{""Sales hours"": ""9:00am to 8:00pm"", ""Service hours"": ""7:00am to 6:00pm""}","[""Complimentary beverages"", ""Complimentary car wash with service"", ""Complimentary snacks"", ""Early drop-off"", ""Late pick-up""]","2","34737"
"5e3ea3cf498cca5bee6669b0fa5d1e1d","advantage-chevrolet-of-bolingbrook","Advantage Chevrolet of Bolingbrook","https://www.cars.com/dealers/168/advantage-chevrolet-of-bolingbrook/#Reviews","https://www.advantagechevbb.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","115 West South Frontage Road, Bolingbrook, IL 60440","4.8",5972,"If you're in the Bolingbrook area or near the airports heading into Chicago, Advantage Chevrolet is worth a call—this family-owned Chevy shop has been earning trust for over 20 years, with a stellar 4.8-star rating from nearly 6,000 customers backing it up. Their service department is where they really shine, with factory-certified technicians who go the extra mile, and shoppers consistently praise how the team treats them like family rather than just another transaction. Conveniently located right off I-55, they've got the expertise and reputation to make your next vehicle purchase or service visit straightforward and hassle-free.","(866) 687-3693","(888) 557-5456","(888) 792-6521","{""Sales hours"": ""9:00am to 8:00pm"", ""Service hours"": ""7:00am to 6:00pm""}","[""Children friendly waiting area"", ""Complimentary beverages"", ""Complimentary car wash with service"", ""Complimentary shuttle service"", ""Complimentary snacks"", ""Complimentary wi-fi"", ""Customer lounge"", ""Early drop-off"", ""Family-owned business"", ""Free shuttle and pick up service within 15 min"", ""Kids play room"", ""Late pick-up"", ""Online service appointment scheduling"", ""Rental service"", ""Spanish-speaking sales team"", ""We’ll buy your car""]","1","47269"
"99b29410697bf67e4d5a96d29b0e4c0d","advantage-chevrolet-of-bridgeview","Advantage Chevrolet of Bridgeview","https://www.cars.com/dealers/5397897/advantage-chevrolet-of-bridgeview/#Reviews","http://www.advantagechevybridgeview.com?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","8200 S Harlem Ave, Bridgeview, IL 60455","4.7",1860,"If you're shopping for a Chevrolet in the Bridgeview area, Advantage Chevrolet has built a solid reputation with nearly 1,900 five-star reviews—customers consistently praise the sales team for taking time to understand what you're looking for, whether it's a new model or a quality used vehicle. With both new and used inventory on hand, you'll have options, and the team here genuinely seems invested in making the process smooth rather than pushy. Worth a visit if you want a Chevy dealer that shoppers actually recommend to friends and family.","(708) 879-7552","(708) 325-4733","(708) 879-7556","{""Sales hours"": ""9:00am to 8:00pm"", ""Service hours"": ""7:00am to 6:00pm""}",NULL,"1","39591"
"700ad184300134a1fbc9135458ca72a8","airpark-dodge-chrysler-jeep-ram","Airpark Dodge Chrysler Jeep RAM","https://www.cars.com/dealers/94442/airpark-dodge-chrysler-jeep-ram/#Reviews","https://www.airparkdodgechryslerjeep.com?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","7801 E Frank Lloyd Wright Blvd, Scottsdale, AZ 85260","4.4",1690,NULL,"(480) 422-5971","(480) 422-5999","(480) 422-1346","{""Sales hours"": ""8:00am to 8:00pm"", ""Service hours"": ""7:00am to 6:00pm""}","[""Download our Mobile App for special promotions"", ""Online service appointment scheduling""]","2","21961"
"75cf16db6a777dfa8f0ce54591acbaaf","akins-ford","Akins Ford","https://www.cars.com/dealers/6038466/akins-ford/#Reviews","https://www.akinsford.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","220 West May Street, Winder, GA 30680","4.8",1268,NULL,"(888) 446-8540","(877) 846-5080","(866) 984-1844","{""Sales hours"": ""8:45am to 7:00pm"", ""Service hours"": ""7:30am to 6:00pm""}","[""Children friendly waiting area"", ""Complimentary beverages"", ""Complimentary shuttle service"", ""Complimentary wi-fi"", ""Computer work stations"", ""Customer lounge"", ""Early drop-off"", ""Employee-owned business"", ""Family-owned business"", ""Home delivery"", ""Late pick-up"", ""No-haggle pricing"", ""Online service appointment scheduling"", ""Purchase online"", ""Spanish-speaking sales team""]","2","77174"
"5ac6a22ffcdcdd0a7c194b5935d7a2e7","al-piemonte-buick-gmc","Al Piemonte Buick GMC","https://www.cars.com/dealers/5388701/al-piemonte-buick-gmc/#Reviews","http://www.apbuickgmc.com?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","364 W Grand Ave, Elmhurst, IL 60126","4.5",1452,NULL,"(866) 254-0944","(833) 547-6146","(630) 478-2463","{""Sales hours"": ""9:00am to 9:00pm"", ""Service hours"": ""7:00am to 6:00pm""}",NULL,"1","51950"
"1c160e84e46a510fcd24f291bd83761f","al-serra-auto-plaza","Al Serra Auto Plaza","https://www.cars.com/dealers/156900/al-serra-auto-plaza/#Reviews","http://www.alserra.com?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","6201 S Saginaw Rd, Grand Blanc Charter Township, MI 48439","4.5",1696,"Al Serra Auto Plaza has been serving the Grand Blanc area for 18 years with a refreshingly straightforward approach—they show you their best price upfront so you can skip the negotiation games. With access to multiple brands like Chevrolet, Chrysler, RAM, Jeep, Kia, and more, plus a factory-certified service center staffed by experienced technicians, you get one-stop shopping whether you're buying or maintaining your vehicle. Their 4.5-star rating from nearly 1,700 reviews reflects what customers consistently praise: knowledgeable advisors who stick with you through the whole process and a service team that actually gets things done quickly.","(810) 503-0005","(810) 535-7462","(888) 471-4159","{""Sales hours"": ""9:00am to 6:00pm"", ""Service hours"": ""7:00am to 5:00pm""}","[""Complimentary beverages"", ""Complimentary shuttle service"", ""Complimentary snacks"", ""Complimentary wi-fi"", ""Computer work stations"", ""Customer lounge"", ""Early drop-off"", ""Family-owned business"", ""Home delivery"", ""No-haggle pricing"", ""Online service appointment scheduling"", ""Rental service"", ""We’ll buy your car""]","2","41679"
"918a43b677483a9100d340d194103602","albany-subaru","Albany Subaru","https://www.cars.com/dealers/6050464/albany-subaru/#Reviews","https://www.albanysubaru.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","718 San Pablo Avenue, Albany, CA 94706","4.7",1180,NULL,"(833) 278-0617","(833) 278-0618","(833) 278-0619","{""Sales hours"": ""9:00am to 8:00pm"", ""Service hours"": ""7:00am to 7:00pm""}","[""Complimentary beverages"", ""Complimentary snacks"", ""Complimentary wi-fi"", ""Family-owned business"", ""Online service appointment scheduling"", ""Purchase online"", ""We’ll buy your car""]","1","27894"
"062ad7fa27760a03fb674963bd5a309d","albrecht-subaru-of-wakefield","Albrecht Subaru of Wakefield","https://www.cars.com/dealers/6067916/albrecht-subaru-of-wakefield/#Reviews","https://www.subaruofwakefield.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","618 North Avenue, Wakefield, MA 01880","4.7",2219,NULL,"(877) 682-5957","(866) 922-8907","(866) 747-9779","{""Sales hours"": ""9:00am to 7:00pm"", ""Service hours"": ""7:00am to 6:00pm""}",NULL,"1","31976"
"2297bca4bfd025a27ee5bb51209ba734","alexandria-vw","Alexandria VW","https://www.cars.com/dealers/2571/alexandria-vw/#Reviews","http://www.alexandriavw.com?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","107 W Glebe Rd, Alexandria, VA 22305","4.6",1261,NULL,"(888) 229-1291","(877) 820-8118","(703) 822-4179","{""Sales hours"": ""9:00am to 9:00pm"", ""Service hours"": ""7:00am to 7:00pm""}","[""24 Hour Drop Off"", ""Children friendly waiting area"", ""Complimentary beverages"", ""Complimentary car wash with service"", ""Complimentary loaner vehicles"", ""Complimentary shuttle service"", ""Complimentary wi-fi"", ""Computer work stations"", ""Customer lounge"", ""Customer loyalty program"", ""Early drop-off"", ""Family Owned and Operated"", ""Kids play room"", ""Military discounts on service"", ""Online service appointment scheduling"", ""Pet Friendly"", ""Rental service"", ""Restaurants on location"", ""Senior discounts on service""]","3","42700"
"b42bffc1639c352275a2899634a673d5","alfa-romeo-maserati-stuart","Alfa Romeo Maserati Stuart","https://www.cars.com/dealers/5391561/alfa-romeo-maserati-stuart/#Reviews","https://www.maseratistuart.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","3980 SE Federal Hwy, Stuart, FL 34997","4.8",1008,NULL,"(855) 985-1173","(888) 963-0025","(888) 966-2071","{""Sales hours"": ""9:00am to 8:00pm"", ""Service hours"": ""7:00am to 6:00pm""}","[""Artisanal Coffee Machine"", ""Children friendly waiting area"", ""Classiche Service"", ""Complimentary beverages"", ""Complimentary car wash with service"", ""Complimentary loaner vehicles"", ""Complimentary shuttle service"", ""Complimentary snacks"", ""Complimentary wi-fi"", ""Customer lounge"", ""Early drop-off"", ""Elevator Access to Lounge"", ""Online service appointment scheduling"", ""Rental service""]","1","28788"
"10c53a8e4fc445952e0ad18e71c77ddd","alfa-romeo-of-central-florida","Alfa Romeo of Central Florida","https://www.cars.com/dealers/5397697/alfa-romeo-of-central-florida/#Reviews","https://www.alfaromeocentralflorida.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","525 S Lake Destiny Dr., Orlando, FL 32810",NULL,49,NULL,"(866) 966-3442","(877) 468-1523","(877) 468-1760","{""Sales hours"": ""9:00am to 6:00pm"", ""Service hours"": ""9:00am to 6:00pm""}",NULL,"1","72949"
"676787e8cfb618c23f4bf7d45bf76420","alfa-romeo-of-strongsville","Alfa Romeo of Strongsville","https://www.cars.com/dealers/203021/alfa-romeo-of-strongsville/#Reviews","https://www.alfaromeousaofstrongsville.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","11800 Pearl Rd, Strongsville, OH 44136","4.8",1565,NULL,"(440) 580-4921","(440) 580-4917","(440) 783-6162","{""Sales hours"": ""9:00am to 8:00pm"", ""Service hours"": ""9:00am to 5:00pm""}",NULL,"1","73388"
"a556cc869da79f34554820fef68172ac","all-american-chevrolet-of-midland","All American Chevrolet Of Midland","https://www.cars.com/dealers/182226/all-american-chevrolet-of-midland/#Reviews","https://www.allamericanchevroletmidland.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","4100 W Wall St, Midland, TX 79703","4.5",1278,NULL,"(888) 328-2249","(877) 201-8338","(833) 392-4859","{""Sales hours"": ""8:30am to 7:30pm"", ""Service hours"": ""7:30am to 6:00pm""}","[""Complimentary beverages"", ""Complimentary wi-fi"", ""Customer lounge"", ""Early drop-off"", ""Kids play room"", ""Online service appointment scheduling""]","1","36995"
"ad98c0aee459dca3f776e8b59007d464","all-american-chrysler-dodge-jeep-ram-of-midland","All American Chrysler Dodge Jeep Ram of Midland","https://www.cars.com/dealers/148295/all-american-chrysler-dodge-jeep-ram-of-midland/#Reviews","https://www.allamericandodgemidland.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","3801 W Wall St, Midland, TX 79703","4.5",1438,"All American Chrysler Dodge Jeep Ram has been a Midland fixture for 16 years, and they've built a loyal following by keeping the buying and service experience straightforward—no hassle, no surprises. Their factory-certified technicians handle everything from routine maintenance to recalls with clear communication throughout, and repeat customers keep coming back because the staff actually listens to what you need. If you're in the market for Chrysler, Dodge, Jeep, or Ram, this franchise location delivers on both the sales side and the service bay.","(432) 316-2170","(432) 527-9094","(888) 738-8468","{""Sales hours"": ""8:30am to 8:00pm"", ""Service hours"": ""7:30am to 6:00pm""}","[""Children friendly waiting area"", ""Complimentary wi-fi"", ""Customer lounge"", ""Early drop-off"", ""Online service appointment scheduling""]","2","34240"
"a50c2374934f407712a80979fc7364e0","allen-chevrolet-cadillac","Allen Chevrolet Cadillac","https://www.cars.com/dealers/15601/allen-chevrolet-cadillac/#Reviews","https://www.allenchevroletcadillac.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","15180 South Dixie Highway, Monroe, MI 48161","4.0",1920,NULL,"(734) 636-2699","(734) 621-5028","(734) 230-7921","{""Sales hours"": ""9:00am to 8:00pm"", ""Service hours"": ""7:30am to 6:00pm""}","[""Children friendly waiting area"", ""Complimentary beverages"", ""Customer lounge"", ""Online service appointment scheduling""]","3","84887"
"3db3758e1bd8954c4589ab8b76ad69bc","allen-turner-chevrolet","Allen Turner Chevrolet","https://www.cars.com/dealers/2489562/allen-turner-chevrolet/#Reviews","https://www.allenturnerchevrolet.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","4150 S Ferdon Blvd, Crestview, FL 32536","4.9",5021,NULL,NULL,NULL,NULL,"{""Sales hours"": ""8:30am to 7:00pm"", ""Service hours"": ""7:30am to 5:30pm""}","[""Children friendly waiting area"", ""Complimentary beverages"", ""Complimentary multi-point inspections"", ""Complimentary shuttle service"", ""Complimentary snacks"", ""Complimentary wi-fi"", ""Customer lounge"", ""Customer loyalty program"", ""Early drop-off"", ""Family-owned business"", ""Military discounts on service"", ""No-haggle pricing"", ""Online service appointment scheduling"", ""We’ll buy your car""]","2","39981"
"33f0b85ff371dcd02103afaba51f7cc6","allen-turner-hyundai","Allen Turner Hyundai","https://www.cars.com/dealers/6035240/allen-turner-hyundai/#Reviews","https://www.allenturnerhyundai.com?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","6000 Pensacola Blvd, Pensacola, FL 32505","4.9",10101,NULL,NULL,NULL,NULL,"{""Sales hours"": ""8:30am to 7:00pm"", ""Service hours"": ""7:30am to 5:30pm""}","[""Children friendly waiting area"", ""Complimentary beverages"", ""Complimentary car wash with service"", ""Complimentary multi-point inspections"", ""Complimentary shuttle service"", ""Complimentary snacks"", ""Complimentary wi-fi"", ""Customer lounge"", ""Customer loyalty program"", ""Early drop-off"", ""Family-owned business"", ""Home delivery"", ""Kids play room"", ""Military discounts on service"", ""No-haggle pricing"", ""Purchase online"", ""We’ll buy your car""]","2","37406"
"ada0410453f691f609f35d85694b107d","alm-gwinnett","ALM Gwinnett","https://www.cars.com/dealers/178960/alm-gwinnett/#Reviews","http://www.almcars.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","2520 Pleasant Hill Rd, Duluth, GA 30096","4.5",1186,NULL,NULL,NULL,NULL,"{""Sales hours"": ""9:00am to 8:00pm"", ""Service hours"": """"}",NULL,"1","35664"
"c1c82a11a0149c1ec7c07a266984c05e","alm-kennesaw","ALM Kennesaw","https://www.cars.com/dealers/5364859/alm-kennesaw/#Reviews","http://www.almcars.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","2255 Barrett Lakes Blvd, Kennesaw, GA 30144","4.4",1091,NULL,NULL,NULL,NULL,"{""Sales hours"": ""9:00am to 8:00pm"", ""Service hours"": ""10:00am to 6:00pm""}",NULL,"2","41464"
"758e7f516b64307510411f1a32cc9ba5","alm-kia-south","ALM Kia South","https://www.cars.com/dealers/5382445/alm-kia-south/#Reviews","http://www.almsouth.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","4310 Jonesboro Rd, Union City, GA 30291","4.2",5730,NULL,"(678) 228-8765","(678) 951-0170","(678) 369-8690","{""Sales hours"": ""9:00am to 8:00pm"", ""Service hours"": ""8:00am to 4:00pm""}","[""Children friendly waiting area"", ""Complimentary beverages"", ""Complimentary car wash with service"", ""Complimentary shuttle service"", ""Complimentary snacks"", ""Complimentary wi-fi"", ""Computer work stations"", ""Customer lounge"", ""Customer loyalty program"", ""Early drop-off"", ""Kids play room"", ""Late pick-up"", ""Military discounts on service"", ""Online service appointment scheduling"", ""Rental service"", ""Senior discounts on service""]","4","28802"
"e7211c165868cfecb3d8368126f944c6","alm-marietta","ALM Marietta","https://www.cars.com/dealers/2530599/alm-marietta/#Reviews","http://www.almcars.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","1071 Cobb Pkwy SE, Marietta, GA 30060","4.4",3188,NULL,NULL,NULL,NULL,"{""Sales hours"": ""9:00am to 8:00pm"", ""Service hours"": ""10:00am to 6:00pm""}",NULL,"4","40164"
"8f3327822628bc56aabcf775b1073dee","alm-nissan-newnan","ALM Nissan Newnan","https://www.cars.com/dealers/6066709/alm-nissan-newnan/#Reviews","https://www.almnissannewnan.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","783 Georgia 34, Newnan, GA 30265","4.2",2552,NULL,"(877) 461-5093","(855) 231-9794","(888) 229-3122","{""Sales hours"": ""9:00am to 8:00pm"", ""Service hours"": ""7:00am to 7:00pm""}",NULL,"3","38064"
"502842c23397c7167d48e6c5b6b8deb7","alpine-buick-gmc","Alpine Buick GMC","https://www.cars.com/dealers/23030/alpine-buick-gmc/#Reviews","https://www.alpinebuickgmc.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","3106 W County Line Rd, Littleton, CO 80129","4.4",1477,NULL,"(855) 714-2336","(877) 410-5491","(855) 714-2356","{""Sales hours"": ""9:00am to 8:00pm"", ""Service hours"": ""7:00am to 6:00pm""}","[""Complimentary loaner vehicles"", ""Online service appointment scheduling"", ""Pick up and Delivery Service""]","1","40807"
"371e47e19527e9087f6c609343ae3461","alpine-buick-gmc-south","Alpine Buick GMC South","https://www.cars.com/dealers/5384723/alpine-buick-gmc-south/#Reviews","https://www.alpinebuickgmcsouth.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","1313 Motor City Dr, Colorado Springs, CO 80905","4.5",1199,NULL,"(866) 317-0046","(855) 346-2833","(855) 229-0946","{""Sales hours"": ""9:00am to 8:00pm"", ""Service hours"": ""8:00am to 4:00pm""}","[""Children friendly waiting area"", ""Complimentary beverages"", ""Complimentary car wash with service"", ""Complimentary loaner vehicles"", ""Complimentary shuttle service"", ""Complimentary snacks"", ""Complimentary wi-fi"", ""Computer work stations"", ""Customer lounge"", ""Customer loyalty program"", ""Early drop-off"", ""Kids play room"", ""Late pick-up"", ""Military discounts on service"", ""Online service appointment scheduling"", ""Rental service"", ""Senior discounts on service""]","2","37110"
